Publication Year,Action,n
2001,openaccess,1
2003,openaccess,2
2004,openaccess,1
2005,openaccess,1
2006,openaccess,6
2007,openaccess,13
2007,openevaluation,1
2007,opensoftware,1
2008,openaccess,5
2008,opendata,1
2009,openaccess,16
2009,openpolicies,1
2009,openmethod,1
2009,opendata,1
2009,openevaluation,1
2009,opentools,2
2009,opensoftware,2
2010,openaccess,17
2010,openevaluation,2
2010,opentools,2
2010,openeducation,1
2011,openaccess,30
2011,openpolicies,1
2011,openmethod,1
2011,opendata,3
2011,openevaluation,4
2011,opentools,3
2011,opensoftware,1
2012,openaccess,26
2012,openpolicies,3
2012,openmethod,1
2012,opendata,4
2012,openevaluation,3
2012,opentools,2
2012,openeducation,1
2012,opensoftware,1
2013,openaccess,26
2013,openpolicies,3
2013,openscience,1
2013,openmethod,1
2013,opendata,6
2013,openevaluation,1
2013,opentools,1
2013,openeducation,1
2014,openaccess,32
2014,openpolicies,1
2014,opendata,3
2014,opentools,1
2014,openeducation,1
2015,openaccess,54
2015,openpolicies,2
2015,openscience,1
2015,openmethod,1
2015,opendata,8
2015,openevaluation,4
2015,opentools,1
2015,openeducation,3
2015,opensoftware,1
2016,openaccess,57
2016,openpolicies,2
2016,openscience,4
2016,openmethod,3
2016,opendata,10
2016,openevaluation,6
2016,opentools,1
2016,openeducation,1
2017,openaccess,66
2017,openpolicies,8
2017,openscience,3
2017,openmethod,1
2017,opendata,11
2017,openevaluation,2
2017,opentools,1
2017,openeducation,2
2017,openparticipation,1
2018,openaccess,59
2018,openpolicies,10
2018,openscience,3
2018,openmethod,4
2018,opendata,11
2018,openevaluation,5
2018,opentools,4
2018,openeducation,4
2018,opensoftware,2
2019,openaccess,73
2019,openpolicies,5
2019,openscience,6
2019,openmethod,2
2019,opendata,18
2019,openevaluation,8
2019,opentools,3
2019,openeducation,1
2019,opensoftware,1
2020,openaccess,72
2020,openpolicies,5
2020,openscience,4
2020,openmethod,7
2020,opendata,21
2020,openevaluation,8
2020,opentools,6
2020,openeducation,2
2020,opensoftware,1
2020,openparticipation,2
